payment_id,invoice_id,amount_paid,payment_date,payment_method,reference
PAY-001,INV-001,185000,2024-02-08,NEFT,REF-ACM-001
PAY-002,INV-002,320000,2024-03-05,RTGS,REF-BHR-002
PAY-003,INV-003,95000,2024-02-14,UPI,REF-STL-003
PAY-004,INV-004,48000,2024-01-29,NEFT,REF-NVT-004
PAY-005,INV-005,72000,2024-02-18,NEFT,REF-GFR-005
PAY-006,INV-006,210000,2024-03-18,RTGS,REF-PRE-006
PAY-007,INV-007,135000,2024-02-25,NEFT,REF-CHN-007
PAY-008,INV-008,88000,2024-02-28,UPI,REF-APX-008
PAY-009,INV-009,450000,2024-04-12,RTGS,REF-SUN-009
PAY-010,INV-010,275000,2024-04-02,RTGS,REF-MTR-010
PAY-011,INV-011,195000,2024-03-20,NEFT,REF-ACM-011
PAY-012,INV-012,285000,2024-04-15,RTGS,REF-BHR-012
PAY-013,INV-013,110000,2024-03-18,UPI,REF-STL-013
PAY-014,INV-014,62000,2024-03-08,NEFT,REF-NVT-014
PAY-015,INV-015,38000,2024-03-05,UPI,REF-DGF-015
PAY-016,INV-016,165000,2024-03-28,NEFT,REF-RYH-016
PAY-017,INV-017,83000,2024-03-28,NEFT,REF-GFR-017
PAY-018,INV-018,190000,2024-04-22,RTGS,REF-PRE-018
PAY-019,INV-019,148000,2024-04-05,NEFT,REF-CHN-019
PAY-020,INV-020,97000,2024-04-08,UPI,REF-APX-020
PAY-021,INV-021,220000,2024-04-22,NEFT,REF-ACM-021
PAY-022,INV-022,380000,2024-05-28,RTGS,REF-SUN-022
PAY-023,INV-023,310000,2024-05-15,RTGS,REF-MTR-023
PAY-024,INV-024,340000,2024-05-20,RTGS,REF-BHR-024
PAY-025,INV-025,125000,2024-04-20,UPI,REF-STL-025
PAY-026,INV-026,55000,2024-04-10,NEFT,REF-NVT-026
PAY-027,INV-027,42000,2024-04-12,UPI,REF-DGF-027
PAY-028,INV-028,178000,2024-04-30,NEFT,REF-RYH-028
PAY-029,INV-029,91000,2024-05-02,NEFT,REF-GFR-029
PAY-030,INV-030,225000,2024-05-28,RTGS,REF-PRE-030
PAY-031,INV-031,162000,2024-05-12,NEFT,REF-CHN-031
PAY-032,INV-032,105000,2024-05-15,UPI,REF-APX-032
PAY-033,INV-033,240000,2024-05-25,NEFT,REF-ACM-033
PAY-034,INV-034,295000,2024-06-15,RTGS,REF-MTR-034
PAY-035,INV-035,520000,2024-07-05,RTGS,REF-SUN-035
PAY-036,INV-036,365000,2024-06-20,RTGS,REF-BHR-036
PAY-037,INV-037,138000,2024-05-28,UPI,REF-STL-037
PAY-038,INV-038,71000,2024-05-12,NEFT,REF-NVT-038
