invoice_id,customer_id,amount,currency,issue_date,due_date,description
INV-001,CUST-001,185000,INR,2024-01-05,2024-02-04,Construction materials supply Q1
INV-002,CUST-002,320000,INR,2024-01-08,2024-02-22,Manufacturing components batch 1
INV-003,CUST-003,95000,INR,2024-01-10,2024-02-09,Logistics services January
INV-004,CUST-004,48000,INR,2024-01-12,2024-01-27,Software license renewal
INV-005,CUST-005,72000,INR,2024-01-15,2024-02-14,Retail supply chain services
INV-006,CUST-006,210000,INR,2024-01-18,2024-03-03,Precision parts manufacturing
INV-007,CUST-007,135000,INR,2024-01-20,2024-02-19,Medical equipment maintenance
INV-008,CUST-008,88000,INR,2024-01-22,2024-02-21,Distribution services Q1
INV-009,CUST-009,450000,INR,2024-01-25,2024-03-25,Export packaging materials
INV-010,CUST-010,275000,INR,2024-01-28,2024-03-13,Infrastructure project phase 1
INV-011,CUST-001,195000,INR,2024-02-05,2024-03-06,Construction materials Q2
INV-012,CUST-002,285000,INR,2024-02-10,2024-03-26,Manufacturing components batch 2
INV-013,CUST-003,110000,INR,2024-02-12,2024-03-13,Logistics services February
INV-014,CUST-004,62000,INR,2024-02-14,2024-02-29,Cloud hosting services Feb
INV-015,CUST-011,38000,INR,2024-02-16,2024-03-02,Digital marketing services
INV-016,CUST-012,165000,INR,2024-02-18,2024-03-19,Hospitality supply services
INV-017,CUST-005,83000,INR,2024-02-20,2024-03-21,Retail supply March
INV-018,CUST-006,190000,INR,2024-02-22,2024-04-07,Precision engineering Q1
INV-019,CUST-007,148000,INR,2024-02-25,2024-03-26,Healthcare IT services
INV-020,CUST-008,97000,INR,2024-02-28,2024-03-29,Distribution Q2 services
INV-021,CUST-001,220000,INR,2024-03-05,2024-04-04,Construction phase 2
INV-022,CUST-009,380000,INR,2024-03-08,2024-05-07,Export materials Q2
INV-023,CUST-010,310000,INR,2024-03-10,2024-04-24,Infrastructure project phase 2
INV-024,CUST-002,340000,INR,2024-03-12,2024-04-26,Manufacturing batch 3
INV-025,CUST-003,125000,INR,2024-03-15,2024-04-14,Logistics services March
INV-026,CUST-004,55000,INR,2024-03-18,2024-04-02,Software support Q1
INV-027,CUST-011,42000,INR,2024-03-20,2024-04-04,SEO and analytics package
INV-028,CUST-012,178000,INR,2024-03-22,2024-04-21,Hospitality renovation supplies
INV-029,CUST-005,91000,INR,2024-03-25,2024-04-24,Retail services April
INV-030,CUST-006,225000,INR,2024-03-28,2024-05-12,Precision parts Q2
INV-031,CUST-007,162000,INR,2024-04-02,2024-05-02,Medical supplies April
INV-032,CUST-008,105000,INR,2024-04-05,2024-05-05,Distribution services April
INV-033,CUST-001,240000,INR,2024-04-08,2024-05-08,Construction materials Q3
INV-034,CUST-010,295000,INR,2024-04-10,2024-05-25,Metro project milestone 3
INV-035,CUST-009,520000,INR,2024-04-12,2024-06-11,Export bulk materials
INV-036,CUST-002,365000,INR,2024-04-15,2024-05-30,Manufacturing large order
INV-037,CUST-003,138000,INR,2024-04-18,2024-05-18,Logistics April services
INV-038,CUST-004,71000,INR,2024-04-20,2024-05-05,Cloud infrastructure April
INV-039,CUST-011,45000,INR,2024-04-22,2024-05-07,Content strategy services
INV-040,CUST-012,195000,INR,2024-04-25,2024-05-25,Hospitality equipment supply
INV-041,CUST-005,78000,INR,2024-05-02,2024-06-01,Retail supply May
INV-042,CUST-006,245000,INR,2024-05-05,2024-06-19,Precision engineering Q2
INV-043,CUST-001,215000,INR,2024-05-08,2024-06-07,Construction Q4 materials
INV-044,CUST-007,175000,INR,2024-05-10,2024-06-09,Healthcare equipment May
INV-045,CUST-008,115000,INR,2024-05-12,2024-06-11,Distribution May services
INV-046,CUST-009,490000,INR,2024-05-15,2024-07-14,Export order Q3
INV-047,CUST-010,335000,INR,2024-05-18,2024-07-02,Infrastructure milestone 4
INV-048,CUST-002,298000,INR,2024-05-20,2024-07-04,Manufacturing batch 4
INV-049,CUST-003,142000,INR,2024-05-22,2024-06-21,Logistics May services
INV-050,CUST-011,52000,INR,2024-05-25,2024-06-09,Digital campaign management
INV-051,CUST-004,68000,INR,2024-06-02,2024-06-17,Software license Q2
INV-052,CUST-012,185000,INR,2024-06-05,2024-07-05,Hospitality summer supplies
INV-053,CUST-005,86000,INR,2024-06-08,2024-07-08,Retail June services
INV-054,CUST-001,255000,INR,2024-06-10,2024-07-10,Construction H2 kickoff
INV-055,CUST-006,270000,INR,2024-06-12,2024-07-27,Precision parts Q3
INV-056,CUST-007,158000,INR,2024-06-15,2024-07-15,Medical services June
INV-057,CUST-008,122000,INR,2024-06-18,2024-07-18,Distribution June
INV-058,CUST-009,435000,INR,2024-06-20,2024-08-19,Export materials Q4
INV-059,CUST-010,360000,INR,2024-06-22,2024-08-06,Metro project phase 5
INV-060,CUST-002,315000,INR,2024-07-02,2024-08-16,Manufacturing Q3
INV-061,CUST-003,155000,INR,2024-07-05,2024-08-04,Logistics July
INV-062,CUST-011,58000,INR,2024-07-08,2024-07-23,Analytics consulting July
INV-063,CUST-012,210000,INR,2024-07-10,2024-08-09,Hospitality July supply
INV-064,CUST-001,280000,INR,2024-07-12,2024-08-11,Construction project July
INV-065,CUST-004,75000,INR,2024-07-15,2024-07-30,Software services July
INV-066,CUST-005,95000,INR,2024-07-18,2024-08-17,Retail July services
INV-067,CUST-006,285000,INR,2024-07-20,2024-09-03,Precision manufacturing Q3
INV-068,CUST-007,168000,INR,2024-07-22,2024-08-21,Healthcare July
INV-069,CUST-008,130000,INR,2024-07-25,2024-08-24,Distribution July
INV-070,CUST-009,510000,INR,2024-08-01,2024-09-30,Export large order H2
INV-071,CUST-010,385000,INR,2024-08-05,2024-09-19,Infrastructure H2 phase 1
INV-072,CUST-002,342000,INR,2024-08-08,2024-09-22,Manufacturing Q3 batch 2
INV-073,CUST-001,265000,INR,2024-08-10,2024-09-09,Construction August
INV-074,CUST-003,168000,INR,2024-08-12,2024-09-11,Logistics August
INV-075,CUST-010,420000,INR,2024-09-03,2024-10-18,Metro infrastructure phase 6
INV-076,CUST-009,575000,INR,2024-09-06,2024-11-05,Export year-end order
INV-077,CUST-002,380000,INR,2024-09-10,2024-10-25,Manufacturing Q4
INV-078,CUST-001,295000,INR,2024-09-12,2024-10-12,Construction Q4
INV-079,CUST-006,310000,INR,2024-09-15,2024-10-30,Precision parts year-end
INV-080,CUST-010,450000,INR,2024-10-02,2024-11-16,Metro final phase
INV-081,CUST-009,620000,INR,2024-10-08,2024-12-07,Export mega order
INV-082,CUST-002,395000,INR,2024-10-12,2024-11-26,Manufacturing year-end batch
INV-083,CUST-001,320000,INR,2024-10-15,2024-11-14,Construction year-end
INV-084,CUST-006,335000,INR,2024-10-18,2024-12-02,Precision engineering annual
INV-085,CUST-010,480000,INR,2024-11-04,2024-12-19,Infrastructure completion
INV-086,CUST-009,540000,INR,2024-11-08,2025-01-07,Export Q1 advance
INV-087,CUST-002,410000,INR,2024-11-12,2024-12-27,Manufacturing advance order
INV-088,CUST-001,285000,INR,2024-11-15,2024-12-15,Construction closeout
INV-089,CUST-006,360000,INR,2024-11-18,2025-01-02,Precision parts 2025 prep
INV-090,CUST-010,510000,INR,2024-12-03,2025-01-17,Metro 2025 kickoff
INV-091,CUST-009,580000,INR,2024-12-08,2025-02-06,Export 2025 opening order
INV-092,CUST-002,425000,INR,2024-12-10,2025-01-24,Manufacturing 2025 prep
INV-093,CUST-001,310000,INR,2024-12-12,2025-01-11,Construction Jan delivery
INV-094,CUST-006,380000,INR,2024-12-15,2025-01-29,Precision Q1 2025
INV-095,CUST-010,495000,INR,2025-01-06,2025-02-20,Metro project 2025 phase 1
INV-096,CUST-009,630000,INR,2025-01-10,2025-03-11,Export first quarter 2025
INV-097,CUST-002,445000,INR,2025-01-14,2025-02-28,Manufacturing Q1 2025
INV-098,CUST-001,340000,INR,2025-01-18,2025-02-17,Construction 2025 phase 1
INV-099,CUST-006,395000,INR,2025-01-22,2025-03-08,Precision manufacturing 2025
INV-100,CUST-010,520000,INR,2025-02-03,2025-03-20,Metro infrastructure 2025
