email_id,customer_id,from_email,subject,body,received_date,invoice_ref
EMAIL-001,CUST-001,accounts@acmeconstruction.com,Re: Invoice INV-001,Thank you for the invoice. We will process payment by end of this week.,2024-02-06,INV-001
EMAIL-002,CUST-009,accounts@sunriseexports.com,Payment for INV-009,Hi team we have transferred the full amount of INV-009 to your account today. Please confirm receipt.,2024-04-08,INV-009
EMAIL-003,CUST-010,finance@metroinfra.in,Re: Outstanding Invoice INV-010,We acknowledge the invoice. Our accounts team is processing this. Expect payment by April 5th.,2024-03-20,INV-010
EMAIL-004,CUST-002,finance@bharatmfg.com,Invoice INV-012 - Query,The invoice amount seems incorrect. We had agreed on a rate of 270000 not 285000. Please clarify before we process payment.,2024-04-02,INV-012
EMAIL-005,CUST-009,accounts@sunriseexports.com,Re: Reminder INV-022,We are aware of the outstanding amount for INV-022. We are going through a temporary cash flow constraint. Can we arrange to pay this over 2 monthly installments?,2024-05-20,INV-022
EMAIL-006,CUST-010,finance@metroinfra.in,Payment processed INV-023,Dear team payment of Rs 310000 has been processed via RTGS today for invoice INV-023. Reference: REF-MTR-023.,2024-05-14,INV-023
EMAIL-007,CUST-001,accounts@acmeconstruction.com,Re: Invoice INV-021,We confirm receipt of invoice INV-021. Payment will be made by April 25th.,2024-04-10,INV-021
EMAIL-008,CUST-006,finance@precisioneng.com,Dispute on INV-018,There is a discrepancy in invoice INV-018. The quantity billed is 500 units but we only received 470 units. We will pay for 470 units only. Please issue a revised invoice.,2024-04-15,INV-018
EMAIL-009,CUST-002,finance@bharatmfg.com,INV-012 resolved,We have reviewed the contract. You are right the amount of 285000 is correct as per the revised order. Payment will be processed within the week.,2024-04-12,INV-012
EMAIL-010,CUST-009,accounts@sunriseexports.com,INV-022 payment plan,Further to our earlier email we propose paying INV-022 in two parts: 190000 by June 1st and 190000 by July 1st. Please confirm if this is acceptable.,2024-05-25,INV-022
EMAIL-011,CUST-010,finance@metroinfra.in,Re: Invoice INV-034,Hi the invoice INV-034 is under review by our finance head. We will confirm payment by June 10th.,2024-05-30,INV-034
EMAIL-012,CUST-001,accounts@acmeconstruction.com,Out of Office,I am out of the office until June 3rd. For urgent matters please contact rajesh@acmeconstruction.com. I will respond on my return.,2024-05-28,
EMAIL-013,CUST-006,finance@precisioneng.com,INV-018 - revised invoice requested,Following our previous email please send a revised invoice for 470 units. We cannot process payment until we receive the corrected invoice.,2024-04-25,INV-018
EMAIL-014,CUST-009,accounts@sunriseexports.com,Re: Second reminder INV-035,We will make the payment for INV-035 by July 8th. We apologize for the delay.,2024-06-28,INV-035
EMAIL-015,CUST-010,finance@metroinfra.in,INV-047 - payment timeline,Dear team INV-047 for infrastructure milestone 4 is on our payment schedule. We will process payment by July 25th.,2024-07-05,INV-047
EMAIL-016,CUST-002,finance@bharatmfg.com,Payment INV-048,Please be informed that payment of Rs 298000 for INV-048 has been initiated. It should reflect in your account within 2 working days.,2024-07-22,INV-048
EMAIL-017,CUST-009,accounts@sunriseexports.com,INV-046 payment,We confirm payment of INV-046 has been processed today. Transaction reference REF-SUN-046.,2024-07-28,INV-046
EMAIL-018,CUST-010,finance@metroinfra.in,Re: INV-059 reminder,The payment for INV-059 is scheduled for next week. Our CFO has approved the payment run.,2024-08-22,INV-059
EMAIL-019,CUST-009,accounts@sunriseexports.com,INV-058 payment delay,We are currently awaiting release of export proceeds from customs. This is causing a delay. We expect to clear INV-058 by September 8th.,2024-08-25,INV-058
EMAIL-020,CUST-001,accounts@acmeconstruction.com,Re: Overdue notice INV-073,Payment for INV-073 will be made by September 28th. We are currently finalizing our monthly payment run.,2024-09-18,INV-073
EMAIL-021,CUST-009,accounts@sunriseexports.com,INV-070 - cashflow issue,We are experiencing significant delays in receiving payments from our overseas buyers. We request an extension of 30 days on INV-070. We will pay by October 25th.,2024-09-25,INV-070
EMAIL-022,CUST-010,finance@metroinfra.in,INV-075 payment,Payment for INV-075 has been approved by our board. Processing date is November 5th.,2024-10-28,INV-075
EMAIL-023,CUST-009,accounts@sunriseexports.com,INV-076 - dispute,We have identified that INV-076 includes charges for services not yet delivered. Specifically items 3 and 4 on the invoice were scheduled for Q4 delivery. We dispute the full amount and request a revised invoice.,2024-11-20,INV-076
EMAIL-024,CUST-010,finance@metroinfra.in,INV-090 query,We are reviewing INV-090 internally. Could you confirm the scope of work covered in this invoice? We want to ensure it aligns with milestone acceptance criteria before processing.,2025-01-22,INV-090
EMAIL-025,CUST-009,accounts@sunriseexports.com,Re: INV-091 - payment schedule,Regarding INV-091 we propose the following: 300000 by February 28th and the balance 280000 by March 31st. Please confirm acceptance.,2025-02-10,INV-091
EMAIL-026,CUST-002,finance@bharatmfg.com,INV-097 - will pay next week,Hi team. Payment for INV-097 is being processed. It will be done by March 7th.,2025-03-01,INV-097
EMAIL-027,CUST-001,accounts@acmeconstruction.com,INV-098 payment confirmation,We have sent payment for INV-098 today via NEFT. Please confirm receipt.,2025-02-20,INV-098
EMAIL-028,CUST-006,finance@precisioneng.com,INV-099 dispute - pricing error,The unit price on INV-099 does not match our purchase order PO-2025-003. The PO has a rate of 3800 per unit not 4000. Please correct and reissue.,2025-03-12,INV-099
EMAIL-029,CUST-010,finance@metroinfra.in,INV-100 - approval pending,INV-100 is currently pending board approval for payment. Our next board meeting is March 28th after which we will process this.,2025-03-15,INV-100
EMAIL-030,CUST-009,accounts@sunriseexports.com,Re: overdue notice INV-096,We acknowledge this invoice is overdue. We are currently in dispute with our freight partner which has delayed our receivables. We will update you by March 20th.,2025-03-10,INV-096
